Position,Const,Created,Modified,Description,Title,Title type,Directors,You rated,IMDb Rating,Runtime (mins),Year,Genres,Num. Votes,Release Date (month/day/year),URL
71,,,,Beatrice Prior must confront her inner demons and continue her fight against a powerful alliance which threatens to tear her society apart with the help from others on her side.,The Divergent Series: Insurgent,, Robert Schwentke,,9,,2015,"Adventure, Sci-Fi,Thriller",,,
72,,,,"An astronaut becomes stranded on Mars after his team assume him dead, and must rely on his ingenuity to find a way to signal to Earth that he is alive.",The Martian,,Ridley Scott,,10,,2015,"Adventure, Drama, Sci-Fi",,,
73,,,,"A young FBI agent infiltrates an extraordinary team of extreme sports athletes he suspects of masterminding a string of unprecedented, sophisticated corporate heists.",Point Break,, Ericson Core,,7,,2015,"Action, Crime, Sport",,,
74,,,,"A recounting of a New England whaling ship's sinking by a giant whale in 1820, an experience that later inspired the great novel Moby-Dick.",In the Heart of the Sea,, Ron Howard,,7,,2015,"Action, Adventure, Bography",,,
75,,,,"Snoopy embarks upon his greatest mission as he and his team take to the skies to pursue their arch-nemesis, while his best pal Charlie Brown begins his own epic quest back home to win the love of his life.",The Peanuts Movie,,Steve Martino,,8,,2015,"Action, Adventure, Comedy",,,
76,,,,"When her father unexpectedly passes away, young Ella finds herself at the mercy of her cruel stepmother and her scheming step-sisters. Never one to give up hope, Ella's fortunes begin to change after meeting a dashing stranger.",Cinderella,, Kenneth Branagh,,6,,2015,"Drama, Family, Fantasy",,,
77,,,,"When Mother Malkin, the queen of evil witches, escapes the pit she was imprisoned in by professional monster hunter Spook decades ago and kills his apprentice, he recruits young Tom, the seventh son of the seventh son, to help him.",Seventh Son,, Sergei Bodrov,,8,,2015,"Action, Adventure, Fantasy",,,
78,,,,"A spy organization recruits an unrefined, but promising street kid into the agency's ultra-competitive training program, just as a global threat emerges from a twisted tech genius.",Kingsman: The Secret Service,, Matthew Vaughn,,9,,2015,"Action, Adventure, Comedy",,,
79,,,,"Through a series of misunderstandings, Alvin, Simon and Theodore come to believe that Dave is going to propose to his new girlfriend in Miami...and dump them. They have three days to get to him and stop the proposal, saving themselves not only from losing Dave but possibly from gaining a terrible stepbrother.",Alvin and the Chipmunks: The Road Chip,, Walt Becker,,9,,2015,"Animation, Adventure, Comedy",,,
80,,,,"When aliens misinterpret video feeds of classic arcade games as a declaration of war, they attack the Earth in the form of the video games.",Pixels,, Chris Columbus,,9,,2015,"Animation, Adventure, Comedy",,,
81,,,,"Dracula and his friends try to bring out the monster in his half human, half vampire grandson in order to keep Mavis from leaving the hotel.",Hotel Transylvania 2,, Genndy Tartakovsky,,10,,2015,"Animation, Comedy, Family",,,
82,,,,The last witch hunter is all that stands between humanity and the combined forces of the most horrifying witches in history.,The Last Witch Hunter,,Breck Eisner,,10,,2015,"Action. Adventure, Fantasy",,,
83,,,,"Top Cat has arrived to charm his way into your hearts. Ever wonder how this scheming feline got his start? Well Top Cat Begins reveals the origins of everything you know and love about this classic comedy hero. What follows is an adventure so crazy that it has to be seen to be believed. Announced sequel of animated film ""Top Cat"".","Don Gato, el inicio de la pandilla",, Andrés Couturier,,9,,2015,"Animation, Family",,,
84,,,,"In the early 1960s, CIA agent Napoleon Solo and KGB operative Illya Kuryakin participate in a joint mission against a mysterious criminal organization, which is working to proliferate nuclear weapons.",The Man From U.N.C.L.E.,, Guy Ritchie,,8,,2015,"Action, Adventure, Comedy",,,
